SRR_ID	Tissue	Log2TPM1
ERR2205062	Adipose	0
ERR2205066	Adipose	0
SRR10059408	Adipose	0
SRR10059409	Adipose	0
SRR10059411	Adipose	0
SRR10059413	Adipose	0
SRR10059414	Adipose	0
SRR1979631	Adipose	0
SRR1979647	Adipose	0
SRR2995031	Adipose	0
SRR10059417	Adipose	0.74243917
ERR789427	Adipose	0.809351055
SRR2564766	Adipose	0.860211169
SRR13080431	Adipose	0.877743465
M30_2SF	Adipose	0.907409103
SRX3683089	Adipose	0.930626837
M180_1SF	Adipose	0.93568151
SRR4344103	Adipose	0.951518418
M180_2SF	Adipose	0.970699072
SRR11939255	Adipose	0.975956617
SRR11939195	Adipose	1.022516248
SRR6428996	Adipose	1.034411537
W300_3PF	Adipose	1.046906592
M30_4PF	Adipose	1.07506706
SRR6428997	Adipose	1.076561147
SRR11939250	Adipose	1.092063973
SRX3683092	Adipose	1.126196472
M30_3SF	Adipose	1.13626096
W180_2PF	Adipose	1.160091497
M180_2PF	Adipose	1.196413791
M30_1SF	Adipose	1.242193341
ERR2205071	Adipose	1.270878735
W180_3PF	Adipose	1.290867879
SRR11939220	Adipose	1.29223401
SRR7770491	Adipose	1.326577039
SRR4299255	Adipose	1.342687859
SRR10059415	Adipose	1.343242933
W180_1PF	Adipose	1.351693339
M180_3SF	Adipose	1.353434524
SRR10059416	Adipose	1.360873274
ERX2259442	Adipose	1.375535494
CNR0262791	Adipose	1.379350917
ERR2205077	Adipose	1.409608173
SRR6428998	Adipose	1.410175549
SRR12697090	Adipose	1.425162249
SRR6428994	Adipose	1.433811948
SRR11939297	Adipose	1.438158691
SRR4299165	Adipose	1.447926671
W30_3SF	Adipose	1.450234695
SRR11939249	Adipose	1.450427392
Y300_1PF	Adipose	1.450657011
M30_2PF	Adipose	1.455454797
SRR11939439	Adipose	1.455618393
SRR11939254	Adipose	1.457909428
SRR4344097	Adipose	1.459283145
SRR11939219	Adipose	1.470117206
SRX3683091	Adipose	1.472225723
M300_3PF	Adipose	1.481698831
SRR4344101	Adipose	1.487001082
Z180_3SF	Adipose	1.494055596
SRX3683090	Adipose	1.498997811
SRR10059407	Adipose	1.502926297
W180_2SF	Adipose	1.522887872
ERR2205069	Adipose	1.52443283
W180_3SF	Adipose	1.526526594
ERR2205070	Adipose	1.565274483
SRR4415933	Adipose	1.572213504
ERR2205076	Adipose	1.597666082
SRR6428995	Adipose	1.609474621
ERX2259438	Adipose	1.609901021
ERX2259443	Adipose	1.614478052
SRR10059410	Adipose	1.61877522
SRR11939256	Adipose	1.620227451
SRR5803856	Adipose	1.621470054
SRR5042849	Adipose	1.630950573
SRR1805938	Adipose	1.631957304
SRR4299124	Adipose	1.637979277
M300_2SF	Adipose	1.644513447
Y300_1SF	Adipose	1.644652338
M300_3SF	Adipose	1.650310544
SRR5042851	Adipose	1.655884382
SRR4299302	Adipose	1.658474743
SRR4299270	Adipose	1.661387969
SRR5803858	Adipose	1.661990789
SRR4299259	Adipose	1.662075127
Y30_3SF	Adipose	1.664325364
SRR11939438	Adipose	1.669013155
SRR4299245	Adipose	1.67586831
SRR10059412	Adipose	1.680384674
SRR10764576	Adipose	1.704067194
