Samples	PC1_Expr	PC1_Methyl	PC2_Expr	PC2_Methyl	Stages	Breeds
TE33_1	-46.3441	-351.4402	-7.7756	-30.2237	E33	TC
TE33_2	-45.5037	-353.997	-7.7477	-23.8008	E33	TC
TE33_3	-46.8501	-355.3197	-8.6918	-31.7413	E33	TC
TE40_1	-42.8787	-258.5872	-8.682	-51.6591	E40	TC
TE40_2	-43.4554	-255.8674	-8.2082	-42.1909	E40	TC
TE40_3	-38.9846	-261.9511	-8.8342	-49.5294	E40	TC
TE45_1	-39.8865	-220.7519	-8.644	-54.6868	E45	TC
TE45_2	-37.8886	-214.4219	-8.801	-49.8574	E45	TC
TE45_3	-40.0465	-211.3674	-8.4195	-56.0208	E45	TC
TE50_1	-39.4883	-206.9461	-7.556	-63.5819	E50	TC
TE50_2	-37.0869	-216.2928	-7.9137	-67.359	E50	TC
TE50_3	-38.7021	-221.4467	-8.4244	-66.0316	E50	TC
TE55_1	-35.6152	-149.8768	-10.6031	-68.6671	E55	TC
TE55_2	-35.2384	-156.9278	-9.5213	-71.0914	E55	TC
TE55_3	-35.5712	-184.1643	-9.1089	-66.2278	E55	TC
TE60_1	-33.9117	-181.6688	-9.3813	-77.6663	E60	TC
TE60_2	-33.4675	-162.9922	-9.7093	-73.6653	E60	TC
TE60_3	-34.8429	-166.4511	-11.2851	-76.1216	E60	TC
TE65_1	-30.9842	-129.8669	-9.7854	-94.0625	E65	TC
TE65_2	-30.6748	-114.0126	-11.503	-94.5402	E65	TC
TE65_3	-30.9946	-131.2839	-10.7273	-89.7539	E65	TC
TE70_1	-16.0486	-61.4134	-12.1915	-105.1414	E70	TC
TE70_2	-28.0371	-117.1873	-13.8759	-80.7655	E70	TC
TE70_3	-28.1296	-114.6227	-10.8395	-81.1154	E70	TC
TE75_1	-22.9549	-84.3578	-12.7019	-91.2099	E75	TC
TE75_2	-23.0446	-84.6676	-13.05	-101.6504	E75	TC
TE75_3	-22.7399	-78.3435	-13.1501	-100.8221	E75	TC
TE80_1	-17.2047	-88.6127	-14.0095	-85.3789	E80	TC
TE80_2	-21.8639	-109.0819	-13.2621	-92.137	E80	TC
TE80_3	-18.1618	-56.4766	-15.4267	-90.3048	E80	TC
TE85_1	-14.5021	-92.121	-14.5398	-91.4902	E85	TC
TE85_2	-15.6567	-83.1184	-14.1011	-96.2194	E85	TC
TE85_3	-17.7951	-106.5461	-14.4095	-87.0579	E85	TC
TE90_1	-7.8851	-19.6544	-13.9658	-102.7125	E90	TC
TE90_2	-10.6619	-37.133	-13.6964	-96.5108	E90	TC
TE90_3	-10.9023	-47.8993	-15.6732	-98.1058	E90	TC
TE95_1	-8.3061	-64.1576	-14.9242	-107.1177	E95	TC
TE95_2	-4.4764	-74.5239	-13.8764	-104.3963	E95	TC
TE95_3	-5.7169	-41.7319	-2.9253	-112.3922	E95	TC
TE100_1	9.2682	-50.4029	-16.3559	-115.7797	E100	TC
TE100_2	-0.9226	-71.1486	-16.0353	-102.6063	E100	TC
TE100_3	3.7628	-45.3243	-14.7137	-112.3195	E100	TC
TE105_1	10.0463	-38.6467	-15.3036	-108.6158	E105	TC
TE105_2	6.321	-69.4152	-15.1679	-99.5216	E105	TC
TD0_1	24.8254	-42.5091	-15.9201	-101.7763	D0	TC
TD0_2	24.0296	-42.84	-17.7022	-101.4935	D0	TC
TD9_1	30.4466	-10.2767	-15.0341	-122.8267	D9	TC
TD9_2	33.3029	4.9341	-14.6323	-129.1588	D9	TC
TD9_3	33.0051	-0.6148	-11.838	-124.3869	D9	TC
TD20_1	26.2457	0.8363	-9.945	-124.5934	D20	TC
TD20_2	29.6687	38.7941	-10.0151	-136.6185	D20	TC
TD20_3	27.3479	18.0364	-2.8155	-133.0935	D20	TC
TD30_1	30.3688	-2.8906	-12.6498	-130.5001	D30	TC
TD30_2	34.4384	53.1266	-6.2235	-138.3771	D30	TC
TD30_3	36.465	49.7312	-14.0885	-142.2239	D30	TC
TD40_1	32.2016	45.649	-7.6784	-138.8234	D40	TC
TD40_2	28.5535	67.9699	-8.8784	-138.3443	D40	TC
TD40_3	34.5876	61.0457	-9.8328	-145.6041	D40	TC
TD60_1	32.4891	103.7758	-10.3469	-153.124	D60	TC
TD60_2	34.51	110.0728	-10.9156	-153.5141	D60	TC
TD60_3	30.2219	105.3305	-0.4997	-149.4051	D60	TC
TD80_1	35.1391	52.3164	-9.7026	-138.8966	D80	TC
TD80_2	31.4236	96.1784	-9.3319	-145.8956	D80	TC
TD80_3	32.5992	65.1125	-10.9777	-144.4282	D80	TC
