Postnatal	Prenatal
65	329
76	288
65	313
86	310
70	296
76	283
57	314
70	293
74	319
89	301
65	269
68	319
72	307
66	282
59	303
72	319
66	298
64	306
83	304
84	294
64	287
71	319
58	288
82	329
67	286
68	326
71	287
80	297
79	312
72	301
66	282
61	283
85	303
78	291
61	290
67	314
64	304
74	298
55	304
81	318
80	284
75	276
68	298
68	326
85	308
74	307
91	307
61	283
62	301
72	332
55	292
59	296
60	311
70	313
81	306
68	279
68	348
74	309
73	294
77	285
76	306
80	313
60	314
67	340
62	326
87	302
59	292
82	316
70	317
57	311
66	305
77	286
72	332
75	275
73	320
67	279
70	308
64	318
66	298
79	321
78	326
73	324
73	278
61	315
69	296
83	315
61	314
66	316
75	334
74	294
76	300
67	275
75	299
71	282
82	278
76	303
64	302
66	311
81	299
78	308
86	301
73	287
71	288
75	326
74	295
68	307
64	316
56	284
73	285
79	291
74	313
80	316
81	318
68	306
72	288
72	305
75	294
76	287
67	292
78	321
64	318
78	279
70	295
64	297
68	293
71	297
68	314
76	313
65	301
89	338
66	305
76	326
78	308
73	306
81	289
67	309
79	299
57	309
71	276
67	286
78	304
71	323
82	327
61	283
66	289
72	304
72	317
59	301
68	290
74	298
71	306
77	309
67	274
61	281
88	288
67	297
71	300
75	287
58	307
71	290
69	297
70	302
75	289
65	292
63	342
77	299
77	293
64	281
84	289
65	303
76	308
64	316
67	306
73	312
86	310
68	312
69	308
63	279
78	311
66	321
70	322
71	310
71	315
82	304
62	326
69	300
78	294
69	315
67	306
79	291
72	302
78	301
76	297
64	280
75	295
67	309
67	315
80	295
78	290
74	315
78	310
65	318
79	313
85	311
90	286
66	291
68	300
75	313
83	309
83	293
73	288
79	294
71	327
63	331
70	286
58	321
60	305
78	314
75	299
69	331
70	309
71	296
75	310
76	281
77	271
81	291
68	311
63	298
68	296
87	303
70	315
89	285
73	322
78	289
75	313
62	315
80	270
64	267
59	298
68	287
69	319
75	327
66	311
81	304
88	303
55	313
80	331
91	293
72	307
68	295
77	288
64	327
68	290
70	316
77	311
87	313
71	296
79	298
82	303
63	292
73	314
83	310
73	304
61	291
67	336
55	293
78	299
70	327
69	323
74	297
66	303
75	314
76	290
51	306
69	310
74	314
66	286
80	305
95	291
92	312
61	304
70	278
91	307
76	292
70	306
63	280
67	334
79	300
77	300
64	295
68	309
82	314
75	286
76	287
66	323
71	305
78	321
67	299
71	299
74	315
63	277
76	325
86	315
60	316
62	346
71	341
69	289
77	287
74	290
67	297
67	308
64	312
70	323
84	285
80	309
71	300
68	347
76	319
79	314
80	295
79	277
71	298
70	319
70	296
72	323
72	296
81	303
62	303
83	315
79	293
75	274
78	245
74	302
80	271
69	322
58	297
63	311
56	337
75	330
66	331
78	300
69	320
78	290
64	309
80	310
73	315
63	293
65	283
71	310
79	323
64	284
58	318
76	304
72	285
77	316
78	281
74	316
68	291
78	322
62	341
80	290
73	299
76	291
71	300
63	306
87	287
68	293
77	309
75	296
73	317
57	269
68	306
80	294
75	325
78	332
75	306
68	302
72	336
73	304
51	347
71	287
87	329
73	304
79	287
62	302
70	277
82	298
70	335
68	282
83	283
75	315
74	299
82	310
74	310
70	313
68	311
69	312
79	277
72	300
70	321
76	323
71	297
60	315
87	291
69	288
63	307
66	300
75	323
69	315
74	319
73	331
72	316
63	318
74	287
78	296
55	283
81	293
68	296
82	287
71	304
58	289
74	288
52	323
77	315
60	304
78	305
72	309
62	317
92	314
75	292
73	315
79	340
77	281
59	299
79	292
62	304
73	301
51	329
89	323
67	302
74	290
72	292
61	306
75	298
91	309
72	297
67	314
67	305
73	298
74	321
71	312
82	300
65	299
69	304
73	302
68	260
72	298
72	308
82	284
65	294
87	335
71	295
73	301
72	303
68	326
75	296
69	294
89	311
70	317
77	320
81	303
74	280
77	314
83	300
66	309
85	303
71	321
65	308
73	306
72	283
71	300
85	282
74	302
68	320
78	303
77	297
68	300
71	317
69	296
66	324
83	303
68	286
64	280
74	316
74	301
73	300
76	326
79	300
68	325
70	305
69	301
78	291
71	276
68	296
72	303
81	318
87	301
86	315
80	298
74	313
69	274
69	329
73	303
60	289
77	314
77	290
71	311
80	295
83	284
83	298
70	318
76	303
73	294
71	333
67	288
74	296
59	305
77	316
64	296
74	290
67	298
66	285
58	290
67	305
73	317
72	295
63	289
82	302
61	310
72	279
64	286
74	294
72	304
72	294
71	307
78	315
81	300
75	285
72	309
75	286
87	290
67	294
72	303
77	287
78	294
65	297
67	301
67	333
67	295
80	301
59	320
80	300
77	299
58	290
81	312
74	317
65	294
84	290
72	315
62	301
74	294
66	280
64	283
79	291
74	331
84	291
70	329
77	310
65	284
57	310
80	311
79	299
77	300
72	311
84	294
67	287
65	295
71	318
74	299
68	329
66	304
65	284
63	315
68	289
84	296
87	289
63	276
64	321
78	280
74	305
80	302
71	299
56	305
62	298
77	309
77	311
92	280
69	334
78	308
76	333
65	311
93	308
51	313
73	300
66	309
77	317
64	287
83	299
69	299
64	292
64	321
75	298
77	320
67	291
75	299
74	298
77	317
69	293
65	314
69	315
66	315
78	298
70	313
68	303
67	300
63	285
70	316
74	301
67	305
94	311
70	296
77	311
77	335
67	300
68	263
70	314
69	287
67	294
81	311
69	280
64	302
63	309
68	314
72	309
83	299
79	274
72	314
70	279
59	306
66	306
63	298
65	311
71	259
78	302
67	303
88	320
58	321
76	295
74	290
77	321
75	299
73	328
79	296
61	301
86	285
92	300
65	292
71	300
71	292
84	331
71	300
91	323
81	308
83	318
61	301
73	295
78	292
85	274
63	304
63	297
66	279
80	315
65	306
89	286
67	280
75	316
68	281
78	301
79	302
84	270
68	285
77	286
66	277
70	276
87	292
77	301
63	294
78	289
75	298
64	295
77	286
73	303
71	280
69	311
87	312
83	278
66	300
72	317
79	310
90	288
75	334
72	296
103	317
84	303
78	307
84	311
83	294
79	300
71	299
68	308
72	295
77	295
73	289
83	286
73	296
76	313
65	298
70	317
73	336
76	297
66	304
74	308
62	330
81	295
62	289
66	314
69	304
61	300
64	304
69	315
72	313
72	306
65	293
76	304
75	321
76	301
72	315
77	292
81	292
77	273
76	306
95	303
77	306
80	299
81	309
68	310
74	294
80	306
64	306
84	273
66	289
82	312
73	302
76	300
82	315
75	300
68	304
69	294
73	278
73	285
61	285
59	290
74	284
76	312
70	319
78	296
79	301
67	291
71	280
68	304
77	324
74	298
72	311
63	315
66	326
70	316
84	299
76	305
74	301
75	312
77	303
68	302
75	298
77	317
66	321
78	299
71	302
78	297
70	344
68	285
92	299
64	316
76	297
70	282
74	312
81	321
73	307
72	312
71	292
76	296
84	302
76	299
69	307
63	305
78	302
71	310
85	305
66	299
64	300
85	298
72	307
74	289
85	297
92	288
77	337
72	285
71	318
62	308
67	321
66	287
85	334
76	345
87	294
69	287
74	296
67	303
76	301
83	324
73	297
73	300
94	284
74	299
67	326
68	317
75	304
75	302
72	302
77	291
79	263
85	302
68	271
66	282
57	297
71	270
80	301
84	298
71	281
71	294
74	323
84	307
84	320
70	278
78	303
76	310
62	307
71	308
74	291
64	294
74	288
66	279
71	326
70	310
65	283
77	304
73	283
99	315
75	305
67	273
76	290
75	294
71	283
71	303
86	327
79	297
59	305
69	318
67	289
71	280
68	307
69	305
71	300
82	304
70	306
67	270
66	301
59	324
65	306
55	311
91	334
67	304
76	280
58	294
79	329
70	270
78	306
76	323
73	306
64	298
77	295
70	311
63	289
79	305
93	314
64	303
59	312
74	289
72	307
60	329
80	326
91	286
72	325
76	306
60	301
81	310
65	316
75	320
55	287
64	290
72	292
71	315
67	320
75	282
78	296
79	297
65	294
72	296
71	339
53	303
66	295
64	294
85	316
67	300
68	280
89	306
77	285
70	310
79	279
57	302
62	330
65	294
76	318
75	316
78	301
57	293
78	291
72	323
77	302
65	295
66	292
71	312
69	322
68	302
85	315
85	309
79	285
78	301
76	298
79	298
74	303
64	292
76	279
66	297
73	289
79	329
71	300
61	298
77	287
70	324
71	280
73	296
59	290
81	296
78	308
67	279
63	281
74	329
80	295
78	316
70	317
64	290
