col_anno	Breed	Stage	Type
TE33_1	TC	E33	Prenatal
TE33_2	TC	E33	Prenatal
TE33_3	TC	E33	Prenatal
TE40_1	TC	E40	Prenatal
TE40_2	TC	E40	Prenatal
TE40_3	TC	E40	Prenatal
TE45_1	TC	E45	Prenatal
TE45_2	TC	E45	Prenatal
TE45_3	TC	E45	Prenatal
TE50_1	TC	E50	Prenatal
TE50_2	TC	E50	Prenatal
TE50_3	TC	E50	Prenatal
TE55_1	TC	E55	Prenatal
TE55_2	TC	E55	Prenatal
TE55_3	TC	E55	Prenatal
TE60_1	TC	E60	Prenatal
TE60_2	TC	E60	Prenatal
TE60_3	TC	E60	Prenatal
TE65_1	TC	E65	Prenatal
TE65_2	TC	E65	Prenatal
TE65_3	TC	E65	Prenatal
TE70_1	TC	E70	Prenatal
TE70_2	TC	E70	Prenatal
TE70_3	TC	E70	Prenatal
TE75_1	TC	E75	Prenatal
TE75_2	TC	E75	Prenatal
TE75_3	TC	E75	Prenatal
TE80_1	TC	E80	Prenatal
TE80_2	TC	E80	Prenatal
TE80_3	TC	E80	Prenatal
TE85_1	TC	E85	Prenatal
TE85_2	TC	E85	Prenatal
TE85_3	TC	E85	Prenatal
TE90_1	TC	E90	Prenatal
TE90_2	TC	E90	Prenatal
TE90_3	TC	E90	Prenatal
TE95_1	TC	E95	Prenatal
TE95_2	TC	E95	Prenatal
TE95_3	TC	E95	Prenatal
TE100_1	TC	E100	Prenatal
TE100_2	TC	E100	Prenatal
TE100_3	TC	E100	Prenatal
TE105_1	TC	E105	Prenatal
TE105_2	TC	E105	Prenatal
TE105_3	TC	E105	Prenatal
TD0_1	TC	D0	Postnatal
TD0_2	TC	D0	Postnatal
TD0_3	TC	D0	Postnatal
TD9_1	TC	D9	Postnatal
TD9_2	TC	D9	Postnatal
TD9_3	TC	D9	Postnatal
TD20_1	TC	D20	Postnatal
TD20_2	TC	D20	Postnatal
TD20_3	TC	D20	Postnatal
TD30_1	TC	D30	Postnatal
TD30_2	TC	D30	Postnatal
TD30_3	TC	D30	Postnatal
TD40_1	TC	D40	Postnatal
TD40_2	TC	D40	Postnatal
TD40_3	TC	D40	Postnatal
TD60_1	TC	D60	Postnatal
TD60_2	TC	D60	Postnatal
TD60_3	TC	D60	Postnatal
TD80_1	TC	D80	Postnatal
TD80_2	TC	D80	Postnatal
TD80_3	TC	D80	Postnatal
TD100_1	TC	D100	Postnatal
TD100_2	TC	D100	Postnatal
TD100_3	TC	D100	Postnatal
TD120_1	TC	D120	Postnatal
TD120_2	TC	D120	Postnatal
TD120_3	TC	D120	Postnatal
TD140_1	TC	D140	Postnatal
TD140_2	TC	D140	Postnatal
TD140_3	TC	D140	Postnatal
TD160_1	TC	D160	Postnatal
TD160_2	TC	D160	Postnatal
TD160_3	TC	D160	Postnatal
TD180_1	TC	D180	Postnatal
TD180_2	TC	D180	Postnatal
TD180_3	TC	D180	Postnatal
LE33_1	LDR	E33	Prenatal
LE33_2	LDR	E33	Prenatal
LE33_3	LDR	E33	Prenatal
LE40_1	LDR	E40	Prenatal
LE40_2	LDR	E40	Prenatal
LE40_3	LDR	E40	Prenatal
LE45_1	LDR	E45	Prenatal
LE45_2	LDR	E45	Prenatal
LE45_3	LDR	E45	Prenatal
LE50_1	LDR	E50	Prenatal
LE50_2	LDR	E50	Prenatal
LE50_3	LDR	E50	Prenatal
LE55_1	LDR	E55	Prenatal
LE55_2	LDR	E55	Prenatal
LE55_3	LDR	E55	Prenatal
LE60_1	LDR	E60	Prenatal
LE60_2	LDR	E60	Prenatal
LE60_3	LDR	E60	Prenatal
LE65_1	LDR	E65	Prenatal
LE65_2	LDR	E65	Prenatal
LE65_3	LDR	E65	Prenatal
LE70_1	LDR	E70	Prenatal
LE70_2	LDR	E70	Prenatal
LE70_3	LDR	E70	Prenatal
LE75_1	LDR	E75	Prenatal
LE75_2	LDR	E75	Prenatal
LE75_3	LDR	E75	Prenatal
LE80_1	LDR	E80	Prenatal
LE80_2	LDR	E80	Prenatal
LE80_3	LDR	E80	Prenatal
LE85_1	LDR	E85	Prenatal
LE85_2	LDR	E85	Prenatal
LE85_3	LDR	E85	Prenatal
LE90_1	LDR	E90	Prenatal
LE90_2	LDR	E90	Prenatal
LE90_3	LDR	E90	Prenatal
LE95_1	LDR	E95	Prenatal
LE95_2	LDR	E95	Prenatal
LE95_3	LDR	E95	Prenatal
LE100_1	LDR	E100	Prenatal
LE100_2	LDR	E100	Prenatal
LE100_3	LDR	E100	Prenatal
LE105_1	LDR	E105	Prenatal
LE105_2	LDR	E105	Prenatal
LE105_3	LDR	E105	Prenatal
